0	ALLEUR_NMATCH_sprime_results.bed	ALL1KG_NMATCH_sprime_results.bed	ALLEUR_sprime_results.bed	ALL1KG_sprime_results.bed
CrohnsDz	1.1027489745999999	0.688537896419	0.7997696298729999	0.554531977085
EosinophilCount	1.52756575088	1.47364723696	0.941626457282	0.9235065477490001
T2D2	1.19711903206	1.06102782571	0.7911456489319999	0.759389010627
MenarcheAge	0.8880505921340001	0.83051807964	0.7591296347040001	0.7459236416030001
HairColor	1.93542038062	1.53305699305	1.1963611229100002	1.0474667999200002
Heel_T_Score	1.77970901675	1.5078140894799998	1.0768731518299999	0.968280583793
DepressiveSxs	-0.02739700187	0.261150214985	0.543759438802	0.643196826959
Sunburn	2.07817713878	1.8515080335099998	1.34252925565	1.2857555864499999
HDL	-0.176742669275	-0.137922371849	0.25257448417100004	0.359528349084
AutoimmuneDz	3.9335336725300003	4.0843811808499995	1.51347372274	1.65550116897
NumChildrenBorn	0.960163870283	0.896770877044	0.8216839463529999	0.8400352059460001
Tanning	1.7522255230500001	1.3363985179200002	1.3059708978	1.34113261006
Height2	1.02808982976	1.0004488927200001	0.826950364286	0.819823178273
MenopauseAge	2.20453530498	1.96416453444	1.3364667196200002	1.2281148839
PlateletCount	0.682546870255	0.7620633339049999	0.539312019883	0.592573772515
HighCholesterol	-0.321706121698	-0.362113062306	0.24464014025	0.213421031028
RDW	1.11384911457	1.29856861175	0.8356864624060001	0.9379115657629999
RA	0.682551358374	0.712249918122	0.514211062432	0.544390491027
FirstBirthAge	0.47699327371600003	0.378119796831	0.5237128801300001	0.489844635752
Hypothyroidism	0.804385758717	0.843498916002	0.5067438470660001	0.53661383306
BMI2	0.907947433877	0.8634271727860001	0.641961467914	0.6715829230179999
SmokingStatus	1.11853190101	1.0457190673799999	0.739852547333	0.74221577963
UC	0.9327362495980001	0.567961545054	0.629636326342	0.579110824383
SystolicBP	0.866741199856	0.844881927789	0.6573868474369999	0.638140390874
MorningPerson	1.6250502226299999	1.51048308935	1.05920844845	0.9898163855419999
Resp_ENT_Dz	1.10234555517	1.1806289355500001	0.678558485748	0.742449042294
ASD	0.8348490871359999	1.40091026146	1.2375257949299998	1.4729694014899999
RBCCount	0.877723846134	0.955382295176	0.763171857408	0.950773158732
FVC	1.8185549600599997	1.7609519513799998	1.04155296584	1.04500394854
WaistHipRatio	1.1993510645	1.1133400806	0.74553436983	0.709536053398
Eczema	1.54389610129	1.57885130146	0.9791305252470001	1.00865203682
Schizophrenia	0.887567960219	0.9265655472480001	0.716901158442	0.724409530247
WBCCount	1.5096106570399999	1.42748913916	0.878183271217	0.9255910614149999
Anorexia	-0.9556907779430001	-0.6885177772040001	0.39334918364200006	0.514140443446
FEV1_FVC_Ratio	1.30290055211	1.45205151729	0.840912181433	0.952129285503
Neuroticism	0.535486710189	0.37279328885799995	0.775459372377	0.706501883343
DermDz	1.20430290097	1.58794773972	0.5934645302839999	0.914292592968
SkinColor	1.88349358455	1.46326831565	1.46559767326	1.40469031393
YearsOfEd2	0.9145192257070001	0.9441744756839999	0.668933517587	0.669495881624
Balding	2.26915861283	2.0909494460299998	1.2755959777399999	1.29616800931
LDL	0.313991291449	0.35871034005999997	0.42600163701899996	0.42469517534999995
