0	ALLEUR_plusVindija_sprime_segments_neanMatchingFilter.bed	EUR_VMATCH_sprime_results.bed
EosinophilCount	0.889485271592	1.4077503637600002
MenopauseAge	0.983734551439	1.89507136509
RA	0.7928696031739999	0.479106896975
MorningPerson	0.9647288785439999	1.5242607693999999
Hypothyroidism	0.8005864479449999	0.769301474857
Heel_T_Score	0.948393924407	1.71162659759
LDL	0.921697981886	0.36571552743600005
YearsOfEd2	0.8691101378239999	0.906378855274
FEV1_FVC_Ratio	0.969721533661	1.2599849202200002
HighCholesterol	0.852517635622	-0.00189716401646
PlateletCount	0.841108834504	0.77172157598
Eczema	0.952657303102	1.4328175273500001
DermDz	0.8847816386799998	1.09162775668
Schizophrenia	0.8712737733429999	0.89011852574
NumChildrenBorn	0.93287462823	1.12302121991
Neuroticism	0.9262047621680001	0.626967497722
FirstBirthAge	0.896803661856	0.595638922196
HairColor	1.0593125075399998	1.8064538469099998
Height2	0.89306085657	1.02331151604
HDL	0.767254842806	0.112839933006
CrohnsDz	0.6909358383699999	2.03924971936
FVC	0.939597086123	1.67255298831
SystolicBP	0.8914389550190001	0.869466716308
SmokingStatus	0.8885365365369999	1.0838107098999998
RDW	0.881629472811	1.01757328317
T2D2	0.914263636914	1.08492403725
BMI2	0.873268245552	0.894763380316
DepressiveSxs	0.960373402314	0.507150647184
WaistHipRatio	0.884550021881	1.17682388099
RBCCount	0.8775723245620001	0.8678554705470001
Resp_ENT_Dz	0.859364720262	1.05855476776
AutoimmuneDz	0.943118945117	3.5881742489599997
Tanning	1.3168364522	1.87016730708
Sunburn	1.20249808897	1.9052336730200001
WBCCount	0.846578072792	1.36409530296
SkinColor	1.21185036471	1.84703668314
MenarcheAge	0.9973781039480001	0.8706831601620001
ASD	0.8326672263089999	0.693543708616
Balding	0.9217673262980001	2.04703268449
Anorexia	0.8427813327089999	-0.464960812218
UC	0.877476232614	1.12404427218
