0	Neanderthal introgressed haplotypes	132,296 Neanderthal SNPs
EosinophilCount	0.9458057147419999	1.56797228337
MenopauseAge	1.08336673264	2.66167031254
RA	0.9501293391619999	0.897271388726
MorningPerson	0.994460134006	1.37350375549
Hypothyroidism	0.800878669586	0.68877859045
Heel_T_Score	0.885315174197	1.33929959636
LDL	0.8268118996960001	-0.12021402996200001
YearsOfEd2	0.9369205584450001	0.831466650088
FEV1_FVC_Ratio	1.0168276402	1.3992898973199999
HighCholesterol	0.801286693084	-0.471536956156
PlateletCount	0.819365889409	0.6325190596670001
Eczema	0.9389006755079999	1.11300345909
DermDz	0.952936636078	1.68429032262
Schizophrenia	0.963724914021	1.3306367248100002
NumChildrenBorn	1.0980740279999999	0.5799285002369999
Neuroticism	0.936043384931	0.0343783611209
FirstBirthAge	0.927229094484	0.188598085357
HairColor	0.81593370682	0.739527016177
Height2	0.905375148048	1.0492568239700002
HDL	0.7930739916670001	-0.631156219003
CrohnsDz	0.655399949111	0.333841499515
FVC	1.01383033519	1.5022351586000002
SystolicBP	0.9227083717319999	0.714432036846
SmokingStatus	0.972943416356	0.826073622028
RDW	0.7978005209469999	1.13907950073
T2D2	0.870875749381	1.0565169106399999
BMI2	0.8953931482330001	0.7601080491300001
DepressiveSxs	1.0970509531000001	-1.0249469735299999
WaistHipRatio	0.9296254028479999	0.788788774668
RBCCount	0.862407421266	0.713573436912
Resp_ENT_Dz	0.93175160343	0.8700318563670001
AutoimmuneDz	1.12833788912	4.35811006558
Tanning	0.927599836994	0.194033650055
Sunburn	0.946791546903	1.2890362370200001
WBCCount	0.8843273699779999	1.47005369844
SkinColor	0.980092507761	1.21982686942
MenarcheAge	1.0218130515700001	0.837884917364
ASD	0.9115802067829999	0.760489710731
Balding	1.01126843014	2.51385993562
Anorexia	0.976926758792	-0.793933080261
UC	0.8738523170579999	0.669722380142
